match_id,home_xg,away_xg
2223-brentford-bournemouth,1.29815,0.269283
2223-wolves-westham,0.806232,0.735105
2223-nottmforest-leicester,1.75313,0.803421
2223-everton-southampton,1.18191,1.08412
2223-brighton-liverpool,2.40062,1.28853
2223-newcastle-fulham,1.96256,0.989872
2223-astonvilla-leeds,1.64599,2.46295
2223-crystalpalace-newcastle,0.333154,1.44384
2223-mancity-wolves,3.32757,0.469277
2223-westham-chelsea,1.07615,0.900465
2223-manunited-leeds,2.00007,0.554798
2223-tottenham-mancity,1.42168,0.773747
2223-nottmforest-leeds,0.3325,1.12331
2223-newcastle-westham,1.22883,1.27831
2223-wolves-liverpool,2.63328,1.30193
2223-leeds-brentford,0.374736,0.17114
2223-manunited-crystalpalace,2.07035,1.3798
2223-brentford-southampton,2.36747,0.644385
2223-astonvilla-leicester,1.4989,2.49784
2223-everton-arsenal,2.09191,0.690102
2223-chelsea-fulham,1.41471,0.493341
2223-fulham-tottenham,1.09339,0.993805
2223-arsenal-manunited,2.90273,0.272246
2223-brighton-bournemouth,2.55696,0.908298
2324-brentford-tottenham,1.90756,1.45316
2122-watford-norwich,1.30606,0.925212
2122-leicester-tottenham,1.95031,4.24711
2021-westbrom-fulham,0.994664,1.52044
2021-mancity-sheffieldunited,1.53116,0.154537
2021-arsenal-manunited,0.747166,1.51332
2021-southampton-astonvilla,2.22557,0.795508
2021-chelsea-burnley,1.4405,0.390714
2021-leicester-leeds,1.73432,1.8141
2021-westham-liverpool,0.883061,2.05809
2021-brighton-tottenham,1.77386,0.372524
2021-sheffieldunited-westbrom,1.35804,1.61871
2021-wolves-arsenal,1.56162,0.716265
2021-manunited-southampton,5.0325,0.507893
2021-newcastle-crystalpalace,1.90755,0.809312
2021-burnley-mancity,0.0489155,2.12153
2021-fulham-leicester,0.731288,1.71299
2021-leeds-everton,1.14303,1.91539
2021-astonvilla-westham,0.741154,1.79064
2021-liverpool-brighton,1.09518,1.18977
2021-mancity-tottenham,2.46219,0.4235
2021-crystalpalace-burnley,0.645616,1.95502
2021-leicester-liverpool,2.07383,1.68325
2021-leeds-crystalpalace,2.64769,0.370278
2021-sheffieldunited-chelsea,0.623045,1.64144
2021-liverpool-mancity,1.17728,3.55196
2021-crystalpalace-wolves,1.36877,0.450907
2021-wolves-leicester,1.35506,0.632232
2021-manunited-everton,1.71769,1.5571
2021-fulham-westham,1.60884,0.943539
2021-newcastle-southampton,0.910553,1.43445
2021-burnley-brighton,1.88934,0.612682
2021-astonvilla-arsenal,1.19792,0.679649
2021-tottenham-chelsea,0.569446,2.393
2021-tottenham-westbrom,1.92997,0.698686
2021-brighton-astonvilla,2.33232,0.144036
2021-everton-newcastle,0.966012,2.08832
2021-manunited-sheffieldunited,0.9931,0.689548
2021-chelsea-mancity,0.691013,3.18063
2021-southampton-liverpool,0.500436,1.37204
2021-sheffieldunited-newcastle,2.01315,1.04745
2021-wolves-everton,0.852495,0.323445
2021-burnley-manunited,0.648582,1.23996
2021-mancity-brighton,2.90855,0.177084
2021-tottenham-fulham,3.14372,1.05329
2021-arsenal-crystalpalace,0.368554,0.709634
2021-wolves-westbrom,1.94358,2.46332
2021-leeds-brighton,0.245193,1.14424
2021-westham-burnley,1.73397,0.395668
2021-fulham-chelsea,0.46126,1.37939
2021-leicester-southampton,2.12019,0.378147
2021-sheffieldunited-tottenham,0.978133,1.28385
2021-liverpool-manunited,1.20205,1.18929
2021-mancity-crystalpalace,0.961088,0.0515836
2021-arsenal-newcastle,2.30744,0.168796
2021-everton-leicester,0.474981,0.792045
2021-brighton-fulham,2.29129,0.513226
2021-chelsea-wolves,0.663324,0.63192
2021-burnley-astonvilla,0.717681,2.70718
2021-southampton-arsenal,0.99504,2.4339
2021-westbrom-mancity,0.568258,2.24838
2021-tottenham-liverpool,0.104586,2.58798
2021-crystalpalace-westham,0.629033,3.30321
2021-astonvilla-newcastle,2.6026,0.400364
2021-liverpool-burnley,1.64907,1.08059
2021-fulham-manunited,0.753669,1.68401
2021-mancity-astonvilla,3.34385,0.601768
2021-leicester-chelsea,1.1449,0.615727
2021-westham-westbrom,2.17512,0.464091
